titulo,autor,doc_type,fecha,abstract,ubicacion,tesauro_primario,tesauro_secundario,descriptores_libres
"Proyecto Comunitario Las Acacias","Dr. Perez","Proyecto de Investigación","2023-11-01","Intervención ecológica y levantamiento poblacional en Las Acacias.","Archivo Central - Estante A1","Investigación aplicada comunitaria","Ecología urbana participativa","desarrollo local;diagnóstico socioambiental;extensión universitaria"
"Planos Nuevo Pabellón Biología","Arq. Mendez","Plano Arquitectónico","2024-01-15","Planos preliminares de la reconstrucción fase 1.","Mapoteca - Gaveta 3","Infraestructura universitaria","Arquitectura académica","planimetría técnica;distribución espacial;normativa de obra"
"Acta de Consejo de Escuela #42","Consejo Facultad","Acta","2024-03-10","Validación presupuestaria anual y asignaciones especiales.","Digitalizado Exclusivo","Gobernanza académica","Gestión presupuestaria institucional","sesión ordinaria;acuerdos de consejo;aprobación administrativa"
"Convenio de Prácticas Profesionales INCES","Susana","Convenio","2023-08-20","Convenio institucional para pasantías técnicas del alumnado.","Dirección - Archivo Legal","Vinculación interinstitucional","Formación profesional dual","pasantías académicas;cooperación educativa;inserción laboral"
"Informe Anual de Gestión 2023","Decanato Ciencias","Informe","2024-01-10","Compendio de actividades y metas alcanzadas.","Digitalizado Exclusivo","Rendición de cuentas académica","Evaluación de desempeño institucional","indicadores de gestión;plan operativo anual;cumplimiento de metas"
"Proyecto Robótica Estudiantil","Prof. Gonzalez","Proyecto de Investigación","2023-09-05","Implementación de robótica educativa en laboratorios.","Archivo Central - Estante B2","Innovación pedagógica tecnológica","Robótica educativa","aprendizaje basado en proyectos;automatización didáctica;laboratorio STEM"
"Acta Extraordinaria #43","Consejo Facultad","Acta","2024-04-02","Aprobación de nuevos pensum de estudio.","Digitalizado Exclusivo","Diseño curricular universitario","Aprobación normativa académica","reforma curricular;actualización de programas;comisión académica"
"Plan Regulador de Áreas Verdes","Arq. Villanueva","Plano Arquitectónico","2022-11-20","Mapa topográfico de caminerías y flora.","Mapoteca - Gaveta 1","Planificación ambiental universitaria","Ordenamiento territorial interno","paisajismo ecológico;zonificación de campus;inventario vegetal"
"Convenio Cooperación Internacional","Susana","Convenio","2021-05-18","Transferencia tecnológica internacional.","Dirección - Archivo Legal","Cooperación académica internacional","Transferencia de conocimiento","alianza estratégica;movilidad científica;internacionalización"
"Desarrollo de Biopolímeros Módulo 1","Dr. Hernandez","Proyecto de Investigación","2024-02-14","Estudios de resistencia en polímeros biodegradables.","Archivo Central - Estante C3","Investigación en materiales sostenibles","Biotecnología de polímeros","economía circular;ensayos de laboratorio;materiales biodegradables"
"Planos Eléctricos Edificio A","Ing. Ramirez","Plano Arquitectónico","2023-12-01","Sistema de cableado estructurado actualizado.","Mapoteca - Gaveta 4","Ingeniería eléctrica edilicia","Actualización de infraestructura técnica","redes de distribución;seguridad eléctrica;mantenimiento preventivo"
"Acta de Consejo de Posgrado","Consejo de Postgrado","Acta","2024-03-22","Admisión de cohorte 2024.","Digitalizado Exclusivo","Gestión de posgrado","Admisión académica","proceso de selección;cupos de cohorte;normativa de admisión"
